BioMistral-7B (MedHireUQRAG greedy, T=0.7, N=10):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.7, N=10): 48.00% (96/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.7, 10):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.7, 10):  58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.7, N=10):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.7, N=10 ):  54.50% (109/200)

BioMistral-7B (MedHireUQRAG greedy, T=0.7, N=20):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.7, N=20): 46.50% (93/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.7, N=20):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.7, N=20 ):  55.00% (110/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.7, 20):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.7, 20):  58.00% (116/200)

BioMistral-7B (MedHireUQRAG greedy, T=0.3, N=20):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.3, N=20): 48.50% (97/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.3, 20):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.3, 20):  58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.3, N=20):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.3, N=20 ):  59.00% (118/200)

BioMistral-7B (MedHireUQRAG greedy, T=0.3, N=10):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.3, N=10): 49.50% (99/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.3, N=10):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.3, N=10 ):  58.00% (116/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.3, 10):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.3, 10):  59.00% (118/200)

Llama-3.1-8B (MedHireUQRAG greedy, T=0.5, N=10):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.5, N=10 ):  58.50% (117/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.5, N=10):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.5, N=10): 45.00% (90/200)

Qwen2.5-7B (MedHireUQRAG greedy, 0.1, 10):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.1, 10):  58.50% (117/200)

Llama-3.1-8B (MedHireUQRAG greedy, T=0.9, N=10):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.9, N=10 ):  56.00% (112/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.9, 10):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.9, 10):  59.00% (118/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.9, N=10):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.9, N=10): 43.50% (87/200)

Qwen2.5-7B (MedHireUQRAG greedy, 0.9, 20):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.9, 20):  58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.9, N=20):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.9, N=20 ):  57.50% (115/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.9, N=20):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.9, N=20): 45.50% (91/200)

Qwen2.5-7B (MedHireUQRAG greedy, 0.5, 20):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.5, 20):  59.00% (118/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.5, N=20):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.5, N=20 ):  56.00% (112/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.5, N=20):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.5, N=20): 47.50% (95/200)

Llama-3.1-8B (MedHireUQRAG greedy, T=0.1, N=5):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.1, N=5 ):  59.00% (118/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.1, N=5):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.1, N=5): 47.50% (95/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.1, 5):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.1, 5):  58.50% (117/200)

Llama-3.1-8B (MedHireUQRAG greedy, T=0.1, N=10):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.1, N=10 ):  58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.1, 10):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.1, 10):  58.50% (117/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.1, N=10):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.1, N=10): 47.50% (95/200)

Qwen2.5-7B (MedHireUQRAG greedy, 0.1, 20):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.1, 20):  58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.1, N=20):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.1, N=20 ):  59.00% (118/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.1, N=20):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.1, N=20): 47.50% (95/200)

Llama-3.1-8B (MedHireUQRAG greedy, T=0.1, N=50):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.1, N=50 ):  58.00% (116/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.1, 50):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.1, 50):  58.50% (117/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.1, N=50):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.1, N=50): 46.50% (93/200)

Qwen2.5-7B (MedHireUQRAG greedy, 0.3, 5):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.3, 5):  58.50% (117/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.3, N=5):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.3, N=5): 44.50% (89/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.3, N=5):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.3, N=5 ):  57.50% (115/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.3, 50):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.3, 50):  58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.3, N=50):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.3, N=50):  59.00% (118/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.3, N=50):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.3, N=50): 46.50% (93/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.5, N=5):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.5, N=5): 46.00% (92/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.5, N=5):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.5, N=5):  57.50% (115/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.5, 5):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.5, 5):  59.50% (119/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.5, N=50):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.5, N=50):  57.50% (115/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.5, N=50):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.5, N=50): 47.00% (94/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.5, 10):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.5, 10):  58.50% (117/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.7, N=5):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.7, N=5): 46.50% (93/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.7, N=5):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.7, N=5):  58.00% (116/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.5, 20):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.5, 20):  58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.5, 50):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.5, 50):  58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.7, N=50):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.7, N=50):  58.00% (116/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.7, N=50):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.7, N=50): 46.00% (92/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.9, N=5):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.9, N=5): 41.00% (82/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.7, 5):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.7, 5):  59.50% (119/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.9, N=5):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.9, N=5):  56.00% (112/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.7, 50):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.7, 50):  59.00% (118/200)
Llama-3.1-8B (MedHireUQRAG greedy, T=0.9, N=50):   58.50% (117/200)
Llama-3.1-8B (MedHireUQRAG majority, T=0.9, N=50):  59.50% (119/200)
BioMistral-7B (MedHireUQRAG greedy, T=0.9, N=50):  47.00% (94/200)
BioMistral-7B (MedHireUQRAG majority, T=0.9, N=50): 48.00% (96/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.9, 5):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.9, 5):  60.00% (120/200)
Qwen2.5-7B (MedHireUQRAG greedy, 0.9, 50):   58.50% (117/200)
Qwen2.5-7B (MedHireUQRAG majority, 0.9, 50):  58.50% (117/200)
