biomistral   | kg_only    | 44.50% (89/200)
biomistral   | textbook   | 48.00% (96/200)
biomistral   | pubmed     | 44.50% (89/200)
llama        | kg_only    | 53.00% (106/200)
biomistral   | no_classifier | 48.50% (97/200)
llama        | textbook   | 58.00% (116/200)
llama        | pubmed     | 55.00% (110/200)
llama        | no_classifier | 57.50% (115/200)
qwen         | no_classifier | 59.00% (118/200)
qwen         | kg_only    | 54.50% (109/200)
qwen         | textbook   | 57.00% (114/200)
qwen         | pubmed     | 56.50% (113/200)
qwen         | no_classifier | 59.00% (118/200)
