============================================================
COMBINED SUMMARY: Error Analysis: All Methods — Raw vs MedRAG vs MedHireRAG vs MedHireUQRAG
============================================================
  BioMistral | raw_vs_medhirerag: helped=21 hurt=8 net=+13
  BioMistral | medhirerag_vs_medhireuqrag: helped=4 hurt=4 net=+0
  Llama | raw_vs_medrag: helped=6 hurt=18 net=-12
  Llama | raw_vs_medhirerag: helped=10 hurt=15 net=-5
  Llama | medrag_vs_medhirerag: helped=16 hurt=9 net=+7
  Llama | medhirerag_vs_medhireuqrag: helped=4 hurt=1 net=+3
  Qwen | raw_vs_medrag: helped=4 hurt=9 net=-5
  Qwen | raw_vs_medhirerag: helped=13 hurt=12 net=+1
  Qwen | medrag_vs_medhirerag: helped=14 hurt=8 net=+6
  Qwen | medhirerag_vs_medhireuqrag: helped=2 hurt=0 net=+2

Saved → ./graphs/analysis/error/summary/all_four/net_effect.png
