comparison,helped,hurt,delta_pp,chi2,p_value,significant
BioMistral: MedHireRAG vs Raw,16,5,5.5,4.761904761904762,0.029096331741252257,*
Llama: MedHireRAG vs Raw,10,17,-3.500000000000007,1.3333333333333333,0.24821307898992362,n.s.
Qwen: MedHireRAG vs Raw,12,12,0.0,0.041666666666666664,0.8382564863858263,n.s.
BioMistral: MedHireRAG vs MedRAG,16,6,5.0,3.6818181818181817,0.055008833629265896,n.s.
Llama: MedHireRAG vs MedRAG,15,10,2.499999999999993,0.64,0.4237107971667936,n.s.
Qwen: MedHireRAG vs MedRAG,13,8,2.499999999999993,0.7619047619047619,0.38273308888522595,n.s.
BioMistral: Textbook vs Graph,16,9,3.5,1.44,0.23013934044341644,n.s.
Llama: Textbook vs Graph,18,9,4.499999999999993,2.3703703703703702,0.12365771040283369,n.s.
Qwen: Textbook vs Graph,14,9,2.499999999999986,0.6956521739130435,0.4042484947394712,n.s.
BioMistral: PubMed vs Graph,11,11,0.0,0.045454545454545456,0.8311704095417624,n.s.
Llama: PubMed vs Graph,16,13,1.500000000000007,0.13793103448275862,0.7103465689955667,n.s.
Qwen: PubMed vs Graph,11,7,1.9999999999999858,0.5,0.47950012218695337,n.s.
BioMistral: MedHireRAG vs Graph,14,9,2.5,0.6956521739130435,0.4042484947394712,n.s.
Llama: MedHireRAG vs Graph,17,10,3.499999999999993,1.3333333333333333,0.24821307898992362,n.s.
Qwen: MedHireRAG vs Graph,13,5,3.999999999999993,2.7222222222222223,0.09896015401940517,n.s.
BioMistral: MedHireRAG vs Textbook,4,6,-1.0,0.1,0.7518296340458492,n.s.
Llama: MedHireRAG vs Textbook,3,5,-1.0,0.125,0.7236736098317629,n.s.
Qwen: MedHireRAG vs Textbook,5,2,1.500000000000007,0.5714285714285714,0.4496917979688908,n.s.
BioMistral: MedHireRAG vs PubMed,12,7,2.5,0.8421052631578947,0.3587953578869416,n.s.
Llama: MedHireRAG vs PubMed,11,7,1.9999999999999858,0.5,0.47950012218695337,n.s.
Qwen: MedHireRAG vs PubMed,9,5,2.000000000000007,0.6428571428571429,0.4226780741706353,n.s.
BioMistral: MedRAG vs Raw,6,5,0.5,0.0,1.0,n.s.
Llama: MedRAG vs Raw,6,18,-6.0,5.041666666666667,0.024744672046398963,*
Qwen: MedRAG vs Raw,4,9,-2.499999999999993,1.2307692307692308,0.26725749315438785,n.s.
